iter	RMSE
0	99.07283543
1	96.09292874
2	93.47351148
3	91.05257865
4	88.71933014
5	86.3085364
6	84.21926161
7	82.09431669
8	79.87898037
9	78.03732034
10	76.20161952
11	74.30883838
12	72.4142213
13	70.8601219
14	69.08809893
15	67.41831575
16	65.80083279
17	64.08547225
18	62.65767787
19	61.04871735
20	59.57126463
21	58.21533549
22	57.04423711
23	55.71620884
24	54.50471968
25	53.22567927
26	52.11223198
27	51.06755424
28	50.16566083
29	49.23337624
30	48.35309789
31	47.33324049
32	46.40632037
33	45.48251905
34	44.66462793
35	43.77216823
36	43.01305944
37	42.41672666
38	41.61582821
39	40.83908988
40	40.2141678
41	39.5964833
42	38.74833885
43	38.0512081
44	37.51892261
45	36.94355593
46	36.39901584
47	35.91959723
48	35.39016386
49	34.92250668
50	34.34084584
51	33.7617818
52	33.29647643
53	32.98353136
54	32.42740524
55	31.94557584
56	31.48820739
57	31.09309494
58	30.68417382
59	30.2936801
60	29.87666287
61	29.41667832
62	29.01154203
63	28.63028364
64	28.4161486
65	28.14871694
66	27.72255086
67	27.4354107
68	27.13205092
69	26.85959487
70	26.45139989
71	26.13635309
72	25.77854396
73	25.47186621
74	25.2201113
75	24.96447753
76	24.60982727
77	24.35501581
78	24.14167739
79	23.80745978
80	23.56597013
81	23.30802544
82	23.10404165
83	22.76328302
84	22.44577206
85	22.17789022
86	21.89149326
87	21.69049625
88	21.4993207
89	21.27473188
90	21.12228627
91	20.88579087
92	20.6149703
93	20.43584988
94	20.23691392
95	20.05026289
96	19.92782222
97	19.65033782
98	19.52231451
99	19.34600648
100	19.15315811
101	18.92767189
102	18.81456287
103	18.57395221
104	18.37404581
105	18.21343455
106	18.0076583
107	17.85784378
108	17.66817555
109	17.45776609
110	17.28971823
111	17.10266635
112	16.87666551
113	16.69537913
114	16.52791024
115	16.37219507
116	16.21124109
117	16.05010885
118	15.83101396
119	15.66031438
120	15.50094895
121	15.39920025
122	15.27451554
123	15.08711413
124	14.98403553
125	14.85166419
126	14.72261175
127	14.50800708
128	14.39992454
129	14.20209282
130	14.04048212
131	13.91342737
132	13.78718088
133	13.66813236
134	13.52905172
135	13.38369174
136	13.25728632
137	13.12745501
138	13.08267305
139	12.94114502
140	12.76684759
141	12.638914
142	12.51660569
143	12.3884014
144	12.27207635
145	12.17977679
146	12.09232917
147	12.04154318
148	11.93883532
149	11.82399459
150	11.74521578
151	11.66990711
152	11.52663803
153	11.42637834
154	11.39263145
155	11.28479186
156	11.18179516
157	11.13445838
158	11.04320532
159	10.94311767
160	10.87266098
161	10.74716489
162	10.66315695
163	10.63252055
164	10.54455388
165	10.47916662
166	10.39901263
167	10.34396984
168	10.27947607
169	10.18312987
170	10.12077365
171	10.03882036
172	9.944151185
173	9.837451319
174	9.763559224
175	9.735667049
176	9.706354668
177	9.642098463
178	9.567780463
179	9.514175922
180	9.445707227
181	9.37680416
182	9.358508575
183	9.315184121
184	9.260071889
185	9.177368631
186	9.13016496
187	9.068773102
188	8.99026222
189	8.938300285
190	8.862057771
191	8.847776121
192	8.772719782
193	8.753271348
194	8.684240791
195	8.671216442
196	8.609936495
197	8.551353691
198	8.503820594
199	8.447429258
200	8.38093067
201	8.335624286
202	8.31945034
203	8.277826621
204	8.209834521
205	8.191364959
206	8.154960143
207	8.110909869
208	8.099399515
209	8.047439768
210	7.993950285
211	7.927059365
212	7.866047824
213	7.818453209
214	7.782945531
215	7.76972271
216	7.752463057
217	7.716117011
218	7.66286332
219	7.611427968
220	7.539639559
221	7.484217594
222	7.426726742
223	7.365772224
224	7.336357371
225	7.287790516
226	7.248861339
227	7.229693001
228	7.1948788
229	7.180239939
230	7.110947228
231	7.065438405
232	6.997542144
233	6.954929205
234	6.906282615
235	6.892824765
236	6.878394232
237	6.856446784
238	6.807897822
239	6.760986378
240	6.739549384
241	6.697175868
242	6.682009267
243	6.646114995
244	6.610479842
245	6.580822383
246	6.568804248
247	6.542697118
248	6.497839668
249	6.482051647
250	6.426967548
251	6.381538013
252	6.375022988
253	6.345943652
254	6.295913248
255	6.290074226
256	6.269516128
257	6.238782786
258	6.228082293
259	6.196234394
260	6.158400815
261	6.151380506
262	6.129226653
263	6.116988742
264	6.097185117
265	6.071985911
266	6.031616651
267	5.999690863
268	5.991994949
269	5.944553171
270	5.91316983
271	5.876640127
272	5.840231297
273	5.79507835
274	5.76286865
275	5.75595899
276	5.750290827
277	5.714008356
278	5.700772367
279	5.66735602
280	5.636530908
281	5.594123243
282	5.564842517
283	5.528395885
284	5.499901111
285	5.463828545
286	5.449419824
287	5.444025457
288	5.408928682
289	5.397584745
290	5.371448485
291	5.329636975
292	5.306929435
293	5.302079685
294	5.284608474
295	5.27978893
296	5.239952528
297	5.234117444
298	5.189859066
299	5.152476146
300	5.121086568
301	5.115907287
302	5.086466589
303	5.053863969
304	5.029100898
305	4.985364087
306	4.952917958
307	4.924415102
308	4.895786242
309	4.866725657
310	4.845983396
311	4.828727209
312	4.822641098
313	4.814101152
314	4.807171297
315	4.783572972
316	4.749855868
317	4.736495993
318	4.71478725
319	4.690925029
320	4.654965109
321	4.635939335
322	4.607822677
323	4.592382166
324	4.552883005
325	4.525373256
326	4.503417996
327	4.476635699
328	4.458615893
329	4.444368782
330	4.437410956
331	4.428852405
332	4.411415086
333	4.382044655
334	4.357984594
335	4.350923007
336	4.331580546
337	4.298295274
338	4.2727838
339	4.269160719
340	4.259185791
341	4.236170134
342	4.208231955
343	4.185731985
344	4.165110234
345	4.140165005
346	4.113762708
347	4.103535475
348	4.086197845
349	4.063295693
350	4.037191373
351	4.024362573
352	4.005177199
353	3.993573684
354	3.974230834
355	3.956997898
356	3.948980083
357	3.909862363
358	3.903522643
359	3.883595104
360	3.864924064
361	3.863837579
362	3.839445093
363	3.823219306
364	3.799188722
365	3.794599029
366	3.757426684
367	3.73832912
368	3.733769462
369	3.713445028
370	3.695552461
371	3.673088875
372	3.667206174
373	3.6479521
374	3.644040659
375	3.631734121
376	3.619382122
377	3.606028562
378	3.587231144
379	3.570856003
380	3.562005188
381	3.543407734
382	3.533836933
383	3.514067393
384	3.497754142
385	3.487910098
386	3.471341883
387	3.457102116
388	3.442092458
389	3.42934355
390	3.414267117
391	3.41064807
392	3.400335411
393	3.387179438
394	3.380143718
395	3.36180769
396	3.350607067
397	3.329558879
398	3.304294674
399	3.289660605
400	3.28685335
401	3.276106081
402	3.257161875
403	3.241826888
404	3.22852479
405	3.212476437
406	3.201801918
407	3.197802519
408	3.180461835
409	3.164930743
410	3.154458103
411	3.151190805
412	3.138820975
413	3.136882929
414	3.1199025
415	3.115729941
416	3.09924675
417	3.088689515
418	3.079363697
419	3.068597774
420	3.054317282
421	3.039538107
422	3.020623264
423	3.001756176
424	2.988905104
425	2.984971635
426	2.969422815
427	2.954122419
428	2.943408754
429	2.925971552
430	2.917089064
431	2.898719295
432	2.885152989
433	2.882942565
434	2.874650996
435	2.859596477
436	2.843834993
437	2.834316253
438	2.829585515
439	2.824318474
440	2.807227011
441	2.793351997
442	2.786212483
443	2.779360836
444	2.775911054
445	2.76350582
446	2.746834376
447	2.730588818
448	2.722378276
449	2.718953237
450	2.706957676
451	2.691831248
452	2.683719715
453	2.671960265
454	2.666321726
455	2.65414303
456	2.64844564
457	2.633481334
458	2.62829951
459	2.626451506
460	2.61207064
461	2.600023696
462	2.597002677
463	2.581807944
464	2.570096423
465	2.559541567
466	2.548387595
467	2.537505003
468	2.525986876
469	2.517578101
470	2.508431239
471	2.500895691
472	2.480508439
473	2.470629376
474	2.465212447
475	2.45114734
476	2.445583512
477	2.439820128
478	2.430467546
479	2.424375455
480	2.41864544
481	2.416685325
482	2.408105699
483	2.397680549
484	2.375828343
485	2.364146596
486	2.350314752
487	2.345695341
488	2.343042735
489	2.331596034
490	2.327384234
491	2.314034541
492	2.304171404
493	2.293392349
494	2.282511775
495	2.276814822
496	2.263369797
497	2.262941736
498	2.25212716
499	2.239506131
500	2.233910156
501	2.231913258
502	2.225041474
503	2.221431434
504	2.210200994
505	2.200392169
506	2.189909797
507	2.187797702
508	2.181682355
509	2.174613619
510	2.171725553
511	2.165609147
512	2.152999285
513	2.141455826
514	2.129242461
515	2.11520369
516	2.112902116
517	2.106172005
518	2.09637895
519	2.092127979
520	2.080737898
521	2.064815822
522	2.06248433
523	2.055580209
524	2.046591619
525	2.041945516
526	2.033629788
527	2.031902742
528	2.030400756
529	2.021937703
530	2.016607726
531	2.009071217
532	2.003395881
533	2.00209861
534	1.988432985
535	1.983894735
536	1.981831724
537	1.969266003
538	1.967522496
539	1.965361072
540	1.957986227
541	1.955678029
542	1.955328327
543	1.950188731
544	1.946231506
545	1.944395003
546	1.929370222
547	1.923424987
548	1.908743213
549	1.908415652
550	1.907361053
551	1.898993034
552	1.898018685
553	1.89650797
554	1.895381081
555	1.885254583
556	1.881551839
557	1.871219062
558	1.864381744
559	1.855459865
560	1.844504176
561	1.843770749
562	1.830522945
563	1.82076667
564	1.818668981
565	1.816871033
566	1.812681372
567	1.803253969
568	1.800137548
569	1.792774588
570	1.787165157
571	1.780621291
572	1.776886431
573	1.771315145
